"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"2000"	"2000"	"65-69 years"	"65-69"	Suppressed	727495	Suppressed
	"Florida"	"12"	"2000"	"2000"	"70-74 years"	"70-74"	Suppressed	724681	Suppressed
	"Florida"	"12"	"2000"	"2000"	"75-79 years"	"75-79"	Suppressed	616693	Suppressed
	"Florida"	"12"	"2000"	"2000"	"80-84 years"	"80-84"	Suppressed	407441	Suppressed
	"Florida"	"12"	"2000"	"2000"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2000"	"2000"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2000"	"2000"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2000"	"2000"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2000"	"2000"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2000"	"2000"			556	15982378	3.479
	"Florida"	"12"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	205486	Suppressed
	"Florida"	"12"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	762503	Suppressed
	"Florida"	"12"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	1018469	Suppressed
	"Florida"	"12"	"2001"	"2001"	"10-14 years"	"10-14"	Suppressed	1094246	Suppressed
	"Florida"	"12"	"2001"	"2001"	"15-19 years"	"15-19"	32	1040770	3.075
	"Florida"	"12"	"2001"	"2001"	"20-24 years"	"20-24"	87	994750	8.746
	"Florida"	"12"	"2001"	"2001"	"25-29 years"	"25-29"	69	971119	7.105
	"Florida"	"12"	"2001"	"2001"	"30-34 years"	"30-34"	76	1100658	6.905
	"Florida"	"12"	"2001"	"2001"	"35-39 years"	"35-39"	116	1251686	9.267
	"Florida"	"12"	"2001"	"2001"	"40-44 years"	"40-44"	169	1268344	13.324
	"Florida"	"12"	"2001"	"2001"	"45-49 years"	"45-49"	160	1134584	14.102
	"Florida"	"12"	"2001"	"2001"	"50-54 years"	"50-54"	74	1052477	7.031
	"Florida"	"12"	"2001"	"2001"	"55-59 years"	"55-59"	30	861880	3.481
	"Florida"	"12"	"2001"	"2001"	"60-64 years "	"60-64"	14	766195	Unreliable
	"Florida"	"12"	"2001"	"2001"	"65-69 years"	"65-69"	Suppressed	729638	Suppressed
	"Florida"	"12"	"2001"	"2001"	"70-74 years"	"70-74"	Suppressed	726158	Suppressed
	"Florida"	"12"	"2001"	"2001"	"75-79 years"	"75-79"	Suppressed	619176	Suppressed
	"Florida"	"12"	"2001"	"2001"	"80-84 years"	"80-84"	Suppressed	423584	Suppressed
	"Florida"	"12"	"2001"	"2001"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2001"	"2001"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2001"	"2001"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2001"	"2001"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2001"	"2001"			846	16356966	5.172
	"Florida"	"12"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	204364	Suppressed
	"Florida"	"12"	"2002"	"2002"	"1-4 years"	"1-4"	Suppressed	786434	Suppressed
	"Florida"	"12"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	1013607	Suppressed
	"Florida"	"12"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	1119215	Suppressed
	"Florida"	"12"	"2002"	"2002"	"15-19 years"	"15-19"	32	1066682	3.000
	"Florida"	"12"	"2002"	"2002"	"20-24 years"	"20-24"	86	1040572	8.265
	"Florida"	"12"	"2002"	"2002"	"25-29 years"	"25-29"	83	972896	8.531
	"Florida"	"12"	"2002"	"2002"	"30-34 years"	"30-34"	99	1112664	8.898
	"Florida"	"12"	"2002"	"2002"	"35-39 years"	"35-39"	121	1236573	9.785
	"Florida"	"12"	"2002"	"2002"	"40-44 years"	"40-44"	181	1295548	13.971
	"Florida"	"12"	"2002"	"2002"	"45-49 years"	"45-49"	170	1183444	14.365
	"Florida"	"12"	"2002"	"2002"	"50-54 years"	"50-54"	93	1065035	8.732
	"Florida"	"12"	"2002"	"2002"	"55-59 years"	"55-59"	43	937274	4.588
	"Florida"	"12"	"2002"	"2002"	"60-64 years "	"60-64"	15	796937	Unreliable
	"Florida"	"12"	"2002"	"2002"	"65-69 years"	"65-69"	Suppressed	738794	Suppressed
	"Florida"	"12"	"2002"	"2002"	"70-74 years"	"70-74"	Suppressed	721741	Suppressed
	"Florida"	"12"	"2002"	"2002"	"75-79 years"	"75-79"	Suppressed	622323	Suppressed
	"Florida"	"12"	"2002"	"2002"	"80-84 years"	"80-84"	Suppressed	436243	Suppressed
	"Florida"	"12"	"2002"	"2002"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2002"	"2002"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2002"	"2002"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2002"	"2002"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2002"	"2002"			959	16689370	5.746
	"Florida"	"12"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	205420	Suppressed
	"Florida"	"12"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	806015	Suppressed
	"Florida"	"12"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	1009113	Suppressed
	"Florida"	"12"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	1135653	Suppressed
	"Florida"	"12"	"2003"	"2003"	"15-19 years"	"15-19"	50	1095938	4.562
	"Florida"	"12"	"2003"	"2003"	"20-24 years"	"20-24"	88	1081883	8.134
	"Florida"	"12"	"2003"	"2003"	"25-29 years"	"25-29"	100	987982	10.122
	"Florida"	"12"	"2003"	"2003"	"30-34 years"	"30-34"	108	1115300	9.683
	"Florida"	"12"	"2003"	"2003"	"35-39 years"	"35-39"	119	1215649	9.789
	"Florida"	"12"	"2003"	"2003"	"40-44 years"	"40-44"	191	1317985	14.492
	"Florida"	"12"	"2003"	"2003"	"45-49 years"	"45-49"	187	1227078	15.239
	"Florida"	"12"	"2003"	"2003"	"50-54 years"	"50-54"	112	1091765	10.259
	"Florida"	"12"	"2003"	"2003"	"55-59 years"	"55-59"	45	981822	4.583
	"Florida"	"12"	"2003"	"2003"	"60-64 years "	"60-64"	16	843248	Unreliable
	"Florida"	"12"	"2003"	"2003"	"65-69 years"	"65-69"	10	754875	Unreliable
	"Florida"	"12"	"2003"	"2003"	"70-74 years"	"70-74"	Suppressed	717131	Suppressed
	"Florida"	"12"	"2003"	"2003"	"75-79 years"	"75-79"	Suppressed	627056	Suppressed
	"Florida"	"12"	"2003"	"2003"	"80-84 years"	"80-84"	Suppressed	444071	Suppressed
	"Florida"	"12"	"2003"	"2003"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2003"	"2003"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2003"	"2003"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2003"	"2003"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2003"	"2003"			1043	17004085	6.134
	"Florida"	"12"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	209821	Suppressed
	"Florida"	"12"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	830348	Suppressed
	"Florida"	"12"	"2004"	"2004"	"5-9 years"	"5-9"	Suppressed	1013054	Suppressed
	"Florida"	"12"	"2004"	"2004"	"10-14 years"	"10-14"	Suppressed	1149995	Suppressed
	"Florida"	"12"	"2004"	"2004"	"15-19 years"	"15-19"	33	1135477	2.906
	"Florida"	"12"	"2004"	"2004"	"20-24 years"	"20-24"	112	1125385	9.952
	"Florida"	"12"	"2004"	"2004"	"25-29 years"	"25-29"	118	1024559	11.517
	"Florida"	"12"	"2004"	"2004"	"30-34 years"	"30-34"	126	1117654	11.274
	"Florida"	"12"	"2004"	"2004"	"35-39 years"	"35-39"	136	1202373	11.311
	"Florida"	"12"	"2004"	"2004"	"40-44 years"	"40-44"	195	1349142	14.454
	"Florida"	"12"	"2004"	"2004"	"45-49 years"	"45-49"	199	1270404	15.664
	"Florida"	"12"	"2004"	"2004"	"50-54 years"	"50-54"	162	1131018	14.323
	"Florida"	"12"	"2004"	"2004"	"55-59 years"	"55-59"	55	1036034	5.309
	"Florida"	"12"	"2004"	"2004"	"60-64 years "	"60-64"	24	887744	2.703
	"Florida"	"12"	"2004"	"2004"	"65-69 years"	"65-69"	Suppressed	781726	Suppressed
	"Florida"	"12"	"2004"	"2004"	"70-74 years"	"70-74"	11	711221	Unreliable
	"Florida"	"12"	"2004"	"2004"	"75-79 years"	"75-79"	Suppressed	630121	Suppressed
	"Florida"	"12"	"2004"	"2004"	"80-84 years"	"80-84"	Suppressed	456021	Suppressed
	"Florida"	"12"	"2004"	"2004"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2004"	"2004"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2004"	"2004"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2004"	"2004"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2004"	"2004"			1196	17415318	6.868
	"Florida"	"12"	"2005"	"2005"	"< 1 year"	"1"	Suppressed	216277	Suppressed
	"Florida"	"12"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	853660	Suppressed
	"Florida"	"12"	"2005"	"2005"	"5-9 years"	"5-9"	Suppressed	1024540	Suppressed
	"Florida"	"12"	"2005"	"2005"	"10-14 years"	"10-14"	Suppressed	1152946	Suppressed
	"Florida"	"12"	"2005"	"2005"	"15-19 years"	"15-19"	39	1179088	3.308
	"Florida"	"12"	"2005"	"2005"	"20-24 years"	"20-24"	84	1156066	7.266
	"Florida"	"12"	"2005"	"2005"	"25-29 years"	"25-29"	121	1073268	11.274
	"Florida"	"12"	"2005"	"2005"	"30-34 years"	"30-34"	113	1111695	10.165
	"Florida"	"12"	"2005"	"2005"	"35-39 years"	"35-39"	142	1209128	11.744
	"Florida"	"12"	"2005"	"2005"	"40-44 years"	"40-44"	158	1365504	11.571
	"Florida"	"12"	"2005"	"2005"	"45-49 years"	"45-49"	189	1317206	14.349
	"Florida"	"12"	"2005"	"2005"	"50-54 years"	"50-54"	124	1177956	10.527
	"Florida"	"12"	"2005"	"2005"	"55-59 years"	"55-59"	65	1096358	5.929
	"Florida"	"12"	"2005"	"2005"	"60-64 years "	"60-64"	20	927259	2.157
	"Florida"	"12"	"2005"	"2005"	"65-69 years"	"65-69"	15	807082	Unreliable
	"Florida"	"12"	"2005"	"2005"	"70-74 years"	"70-74"	Suppressed	712536	Suppressed
	"Florida"	"12"	"2005"	"2005"	"75-79 years"	"75-79"	11	632890	Unreliable
	"Florida"	"12"	"2005"	"2005"	"80-84 years"	"80-84"	Suppressed	464133	Suppressed
	"Florida"	"12"	"2005"	"2005"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2005"	"2005"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2005"	"2005"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2005"	"2005"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2005"	"2005"			1097	17842038	6.148
	"Florida"	"12"	"2006"	"2006"	"< 1 year"	"1"	Suppressed	221765	Suppressed
	"Florida"	"12"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	859431	Suppressed
	"Florida"	"12"	"2006"	"2006"	"5-9 years"	"5-9"	Suppressed	1047894	Suppressed
	"Florida"	"12"	"2006"	"2006"	"10-14 years"	"10-14"	Suppressed	1151818	Suppressed
	"Florida"	"12"	"2006"	"2006"	"15-19 years"	"15-19"	51	1214669	4.199
	"Florida"	"12"	"2006"	"2006"	"20-24 years"	"20-24"	128	1180227	10.845
	"Florida"	"12"	"2006"	"2006"	"25-29 years"	"25-29"	139	1127022	12.333
	"Florida"	"12"	"2006"	"2006"	"30-34 years"	"30-34"	110	1094633	10.049
	"Florida"	"12"	"2006"	"2006"	"35-39 years"	"35-39"	134	1223911	10.949
	"Florida"	"12"	"2006"	"2006"	"40-44 years"	"40-44"	166	1359055	12.214
	"Florida"	"12"	"2006"	"2006"	"45-49 years"	"45-49"	186	1357641	13.700
	"Florida"	"12"	"2006"	"2006"	"50-54 years"	"50-54"	162	1216282	13.319
	"Florida"	"12"	"2006"	"2006"	"55-59 years"	"55-59"	84	1150141	7.303
	"Florida"	"12"	"2006"	"2006"	"60-64 years "	"60-64"	23	958167	2.400
	"Florida"	"12"	"2006"	"2006"	"65-69 years"	"65-69"	10	824321	Unreliable
	"Florida"	"12"	"2006"	"2006"	"70-74 years"	"70-74"	Suppressed	710856	Suppressed
	"Florida"	"12"	"2006"	"2006"	"75-79 years"	"75-79"	Suppressed	629155	Suppressed
	"Florida"	"12"	"2006"	"2006"	"80-84 years"	"80-84"	Suppressed	463236	Suppressed
	"Florida"	"12"	"2006"	"2006"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2006"	"2006"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2006"	"2006"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2006"	"2006"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2006"	"2006"			1223	18166990	6.732
	"Florida"	"12"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	224817	Suppressed
	"Florida"	"12"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	861423	Suppressed
	"Florida"	"12"	"2007"	"2007"	"5-9 years"	"5-9"	Suppressed	1057391	Suppressed
	"Florida"	"12"	"2007"	"2007"	"10-14 years"	"10-14"	Suppressed	1143390	Suppressed
	"Florida"	"12"	"2007"	"2007"	"15-19 years"	"15-19"	54	1233492	4.378
	"Florida"	"12"	"2007"	"2007"	"20-24 years"	"20-24"	143	1198551	11.931
	"Florida"	"12"	"2007"	"2007"	"25-29 years"	"25-29"	168	1155866	14.535
	"Florida"	"12"	"2007"	"2007"	"30-34 years"	"30-34"	146	1081460	13.500
	"Florida"	"12"	"2007"	"2007"	"35-39 years"	"35-39"	156	1226154	12.723
	"Florida"	"12"	"2007"	"2007"	"40-44 years"	"40-44"	198	1331439	14.871
	"Florida"	"12"	"2007"	"2007"	"45-49 years"	"45-49"	228	1375257	16.579
	"Florida"	"12"	"2007"	"2007"	"50-54 years"	"50-54"	167	1253629	13.321
	"Florida"	"12"	"2007"	"2007"	"55-59 years"	"55-59"	112	1151092	9.730
	"Florida"	"12"	"2007"	"2007"	"60-64 years "	"60-64"	37	1020705	3.625
	"Florida"	"12"	"2007"	"2007"	"65-69 years"	"65-69"	23	851830	2.700
	"Florida"	"12"	"2007"	"2007"	"70-74 years"	"70-74"	15	718618	Unreliable
	"Florida"	"12"	"2007"	"2007"	"75-79 years"	"75-79"	Suppressed	624093	Suppressed
	"Florida"	"12"	"2007"	"2007"	"80-84 years"	"80-84"	Suppressed	468010	Suppressed
	"Florida"	"12"	"2007"	"2007"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2007"	"2007"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2007"	"2007"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2007"	"2007"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2007"	"2007"			1473	18367842	8.019
	"Florida"	"12"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	222151	Suppressed
	"Florida"	"12"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	863428	Suppressed
	"Florida"	"12"	"2008"	"2008"	"5-9 years"	"5-9"	Suppressed	1065778	Suppressed
	"Florida"	"12"	"2008"	"2008"	"10-14 years"	"10-14"	Suppressed	1134890	Suppressed
	"Florida"	"12"	"2008"	"2008"	"15-19 years"	"15-19"	43	1241381	3.464
	"Florida"	"12"	"2008"	"2008"	"20-24 years"	"20-24"	145	1207898	12.004
	"Florida"	"12"	"2008"	"2008"	"25-29 years"	"25-29"	191	1170676	16.315
	"Florida"	"12"	"2008"	"2008"	"30-34 years"	"30-34"	143	1079825	13.243
	"Florida"	"12"	"2008"	"2008"	"35-39 years"	"35-39"	136	1216183	11.183
	"Florida"	"12"	"2008"	"2008"	"40-44 years"	"40-44"	193	1297425	14.876
	"Florida"	"12"	"2008"	"2008"	"45-49 years"	"45-49"	244	1388103	17.578
	"Florida"	"12"	"2008"	"2008"	"50-54 years"	"50-54"	195	1286729	15.155
	"Florida"	"12"	"2008"	"2008"	"55-59 years"	"55-59"	110	1159372	9.488
	"Florida"	"12"	"2008"	"2008"	"60-64 years "	"60-64"	38	1058462	3.590
	"Florida"	"12"	"2008"	"2008"	"65-69 years"	"65-69"	18	898069	Unreliable
	"Florida"	"12"	"2008"	"2008"	"70-74 years"	"70-74"	Suppressed	734873	Suppressed
	"Florida"	"12"	"2008"	"2008"	"75-79 years"	"75-79"	Suppressed	621616	Suppressed
	"Florida"	"12"	"2008"	"2008"	"80-84 years"	"80-84"	Suppressed	475065	Suppressed
	"Florida"	"12"	"2008"	"2008"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2008"	"2008"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2008"	"2008"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2008"	"2008"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2008"	"2008"			1478	18527305	7.977
	"Florida"	"12"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	211370	Suppressed
	"Florida"	"12"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	867452	Suppressed
	"Florida"	"12"	"2009"	"2009"	"5-9 years"	"5-9"	Suppressed	1068926	Suppressed
	"Florida"	"12"	"2009"	"2009"	"10-14 years"	"10-14"	Suppressed	1128143	Suppressed
	"Florida"	"12"	"2009"	"2009"	"15-19 years"	"15-19"	41	1237756	3.312
	"Florida"	"12"	"2009"	"2009"	"20-24 years"	"20-24"	126	1214648	10.373
	"Florida"	"12"	"2009"	"2009"	"25-29 years"	"25-29"	188	1178740	15.949
	"Florida"	"12"	"2009"	"2009"	"30-34 years"	"30-34"	168	1089985	15.413
	"Florida"	"12"	"2009"	"2009"	"35-39 years"	"35-39"	160	1197558	13.361
	"Florida"	"12"	"2009"	"2009"	"40-44 years"	"40-44"	185	1262559	14.653
	"Florida"	"12"	"2009"	"2009"	"45-49 years"	"45-49"	261	1400748	18.633
	"Florida"	"12"	"2009"	"2009"	"50-54 years"	"50-54"	219	1314445	16.661
	"Florida"	"12"	"2009"	"2009"	"55-59 years"	"55-59"	127	1179080	10.771
	"Florida"	"12"	"2009"	"2009"	"60-64 years "	"60-64"	55	1095519	5.020
	"Florida"	"12"	"2009"	"2009"	"65-69 years"	"65-69"	27	935003	2.888
	"Florida"	"12"	"2009"	"2009"	"70-74 years"	"70-74"	Suppressed	754685	Suppressed
	"Florida"	"12"	"2009"	"2009"	"75-79 years"	"75-79"	10	614666	Unreliable
	"Florida"	"12"	"2009"	"2009"	"80-84 years"	"80-84"	Suppressed	479274	Suppressed
	"Florida"	"12"	"2009"	"2009"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2009"	"2009"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2009"	"2009"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2009"	"2009"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2009"	"2009"			1590	18652644	8.524
	"Florida"	"12"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	208724	Suppressed
	"Florida"	"12"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	864782	Suppressed
	"Florida"	"12"	"2010"	"2010"	"5-9 years"	"5-9"	Suppressed	1080255	Suppressed
	"Florida"	"12"	"2010"	"2010"	"10-14 years"	"10-14"	Suppressed	1130847	Suppressed
	"Florida"	"12"	"2010"	"2010"	"15-19 years"	"15-19"	42	1228382	3.419
	"Florida"	"12"	"2010"	"2010"	"20-24 years"	"20-24"	124	1228758	10.091
	"Florida"	"12"	"2010"	"2010"	"25-29 years"	"25-29"	209	1179227	17.723
	"Florida"	"12"	"2010"	"2010"	"30-34 years"	"30-34"	200	1110318	18.013
	"Florida"	"12"	"2010"	"2010"	"35-39 years"	"35-39"	185	1178467	15.698
	"Florida"	"12"	"2010"	"2010"	"40-44 years"	"40-44"	184	1252787	14.687
	"Florida"	"12"	"2010"	"2010"	"45-49 years"	"45-49"	228	1401202	16.272
	"Florida"	"12"	"2010"	"2010"	"50-54 years"	"50-54"	224	1340291	16.713
	"Florida"	"12"	"2010"	"2010"	"55-59 years"	"55-59"	161	1202418	13.390
	"Florida"	"12"	"2010"	"2010"	"60-64 years "	"60-64"	69	1135250	6.078
	"Florida"	"12"	"2010"	"2010"	"65-69 years"	"65-69"	25	959233	2.606
	"Florida"	"12"	"2010"	"2010"	"70-74 years"	"70-74"	Suppressed	768707	Suppressed
	"Florida"	"12"	"2010"	"2010"	"75-79 years"	"75-79"	Suppressed	615514	Suppressed
	"Florida"	"12"	"2010"	"2010"	"80-84 years"	"80-84"	Suppressed	482023	Suppressed
	"Florida"	"12"	"2010"	"2010"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2010"	"2010"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2010"	"2010"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2010"	"2010"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2010"	"2010"			1674	18801310	8.904
	"Florida"	"12"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	213621	Suppressed
	"Florida"	"12"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	861221	Suppressed
	"Florida"	"12"	"2011"	"2011"	"5-9 years"	"5-9"	Suppressed	1079863	Suppressed
	"Florida"	"12"	"2011"	"2011"	"10-14 years"	"10-14"	Suppressed	1131573	Suppressed
	"Florida"	"12"	"2011"	"2011"	"15-19 years"	"15-19"	29	1195817	2.425
	"Florida"	"12"	"2011"	"2011"	"20-24 years"	"20-24"	86	1283949	6.698
	"Florida"	"12"	"2011"	"2011"	"25-29 years"	"25-29"	161	1202094	13.393
	"Florida"	"12"	"2011"	"2011"	"30-34 years"	"30-34"	232	1141586	20.323
	"Florida"	"12"	"2011"	"2011"	"35-39 years"	"35-39"	142	1144444	12.408
	"Florida"	"12"	"2011"	"2011"	"40-44 years"	"40-44"	196	1260097	15.554
	"Florida"	"12"	"2011"	"2011"	"45-49 years"	"45-49"	245	1378499	17.773
	"Florida"	"12"	"2011"	"2011"	"50-54 years"	"50-54"	215	1370914	15.683
	"Florida"	"12"	"2011"	"2011"	"55-59 years"	"55-59"	145	1240643	11.687
	"Florida"	"12"	"2011"	"2011"	"60-64 years "	"60-64"	62	1193026	5.197
	"Florida"	"12"	"2011"	"2011"	"65-69 years"	"65-69"	34	984951	3.452
	"Florida"	"12"	"2011"	"2011"	"70-74 years"	"70-74"	Suppressed	793481	Suppressed
	"Florida"	"12"	"2011"	"2011"	"75-79 years"	"75-79"	Suppressed	622844	Suppressed
	"Florida"	"12"	"2011"	"2011"	"80-84 years"	"80-84"	Suppressed	491528	Suppressed
	"Florida"	"12"	"2011"	"2011"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2011"	"2011"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2011"	"2011"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2011"	"2011"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Florida"	"12"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"	"2011"	"2011"			1576	19057542	8.270
	"Florida"	"12"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	212315	Suppressed
	"Florida"	"12"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	859148	Suppressed
	"Florida"	"12"	"2012"	"2012"	"5-9 years"	"5-9"	Suppressed	1095849	Suppressed
	"Florida"	"12"	"2012"	"2012"	"10-14 years"	"10-14"	Suppressed	1133311	Suppressed
	"Florida"	"12"	"2012"	"2012"	"15-19 years"	"15-19"	15	1176536	Unreliable
	"Florida"	"12"	"2012"	"2012"	"20-24 years"	"20-24"	68	1316306	5.166
	"Florida"	"12"	"2012"	"2012"	"25-29 years"	"25-29"	113	1225785	9.219
	"Florida"	"12"	"2012"	"2012"	"30-34 years"	"30-34"	162	1175449	13.782
	"Florida"	"12"	"2012"	"2012"	"35-39 years"	"35-39"	136	1137109	11.960
	"Florida"	"12"	"2012"	"2012"	"40-44 years"	"40-44"	144	1265958	11.375
	"Florida"	"12"	"2012"	"2012"	"45-49 years"	"45-49"	176	1357305	12.967
	"Florida"	"12"	"2012"	"2012"	"50-54 years"	"50-54"	221	1389004	15.911
	"Florida"	"12"	"2012"	"2012"	"55-59 years"	"55-59"	154	1279157	12.039
	"Florida"	"12"	"2012"	"2012"	"60-64 years "	"60-64"	81	1184621	6.838
	"Florida"	"12"	"2012"	"2012"	"65-69 years"	"65-69"	28	1066193	2.626
	"Florida"	"12"	"2012"	"2012"	"70-74 years"	"70-74"	10	828592	Unreliable
