"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2001"	"2001"	"20-24 years"	"20-24"	Suppressed	318741	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"25-29 years"	"25-29"	Suppressed	286763	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"30-34 years"	"30-34"	Suppressed	302186	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"35-39 years"	"35-39"	Suppressed	330870	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"40-44 years"	"40-44"	17	347133	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"45-49 years"	"45-49"	Suppressed	323347	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"50-54 years"	"50-54"	Suppressed	300108	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"55-59 years"	"55-59"	Suppressed	231202	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"60-64 years "	"60-64"	Suppressed	193822	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"65-69 years"	"65-69"	Suppressed	169261	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"70-74 years"	"70-74"	Suppressed	149001	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"75-79 years"	"75-79"	Suppressed	118750	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"80-84 years"	"80-84"	Suppressed	79883	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2001"	"2001"			57	4467634	1.276
	"Alabama"	"01"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	58963	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"1-4 years"	"1-4"	Suppressed	237083	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	302632	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	325008	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"15-19 years"	"15-19"	Suppressed	320749	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"20-24 years"	"20-24"	Suppressed	322812	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"25-29 years"	"25-29"	Suppressed	281003	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"30-34 years"	"30-34"	Suppressed	302668	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"35-39 years"	"35-39"	Suppressed	321114	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"40-44 years"	"40-44"	14	345023	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"45-49 years"	"45-49"	10	330998	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"50-54 years"	"50-54"	11	298908	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"55-59 years"	"55-59"	Suppressed	248643	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"60-64 years "	"60-64"	Suppressed	198880	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"65-69 years"	"65-69"	Suppressed	170495	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"70-74 years"	"70-74"	Suppressed	147964	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"75-79 years"	"75-79"	Suppressed	119599	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"80-84 years"	"80-84"	Suppressed	81123	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2002"	"2002"			71	4480089	1.585
	"Alabama"	"01"	"2003"	"2003"	"< 1 year"	"1"	Suppressed	58021	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	237183	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	299148	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	326642	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"15-19 years"	"15-19"	Suppressed	321655	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"20-24 years"	"20-24"	Suppressed	326983	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"25-29 years"	"25-29"	Suppressed	280387	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"30-34 years"	"30-34"	Suppressed	302722	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"35-39 years"	"35-39"	Suppressed	312160	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"40-44 years"	"40-44"	Suppressed	343191	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"45-49 years"	"45-49"	Suppressed	337237	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"50-54 years"	"50-54"	Suppressed	302120	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"55-59 years"	"55-59"	Suppressed	258551	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"60-64 years "	"60-64"	Suppressed	207119	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"65-69 years"	"65-69"	Suppressed	173635	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"70-74 years"	"70-74"	Suppressed	147332	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"75-79 years"	"75-79"	Suppressed	120741	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"80-84 years"	"80-84"	Suppressed	83097	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"85-89 years"	"85-89"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"90-94 years"	"90-94"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"95-99 years"	"95-99"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"2003"	"2003"			49	4503491	1.088
	"Alabama"	"01"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	58927	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	237043	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"5-9 years"	"5-9"	Suppressed	297554	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"10-14 years"	"10-14"	Suppressed	326228	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"15-19 years"	"15-19"	Suppressed	325095	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"20-24 years"	"20-24"	14	326749	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"25-29 years"	"25-29"	Suppressed	283864	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"30-34 years"	"30-34"	Suppressed	299896	Suppressed
	"Alabama"	"01"	"2004"	"2004"	"35-39 years"	"35-39"	13	305558	Unreliable
